Artikel Nr.;Artikel Nr. alt;Beschreibung;Beschreibung 2;Warengruppe;Lieferant Nr.;Lieferanten Art. Nr.;Einspeise Nr.;Hersteller;Hersteller Art. Nr.;Artikel Änderungsdatum;Artikel Anlegedatum;Höchstbestand;EAN;Partner 70 seit;Partner 70;Partner 70 neu ab;Partner 70 neu;VKP-0 seit;VKP-0
B2099760;1230000010;0 250 201 027;GLÜHKERZE;0471;710216;0250201027;0030;BOSCH;0 250 201 027;30.11.2015;05.11.2006;7,000;3165142825489;20.04.2015;6,300;;0,000;01.01.2016;32,000
B2099770;1230000020;0 250 201 032;GLÜHKERZE;0471;710216;0250201032;0030;BOSCH;0 250 201 032;05.02.2014;05.11.2006;20,000;3165143181768;28.07.2015;8,650;25.01.2016;4,660;01.01.2016;33,000
B2099780;1230000030;0 250 201 035;GLÜHKERZE;0471;710216;0250201035;0030;BOSCH;0 250 201 035;01.10.2011;05.11.2006;1,000;3165143182208;20.04.2015;8,420;;0,000;01.01.2016;31,000
B2099790;1230000040;0 250 201 038;GLÜHKERZE ers. d. 0 250 201 054;0471;710216;0250201038;0030;BOSCH;0 250 201 038;14.10.2013;05.11.2006;0,000;3165143182222;28.07.2015;12,420;;0,000;01.01.2016;40,000
B2099800;1230000050;0 250 201 039;GLÜHKERZE;0471;710216;0250201039;0030;BOSCH;0 250 201 039;07.02.2014;05.11.2006;20,000;3165143181805;28.07.2015;15,160;25.01.2016;5,140;01.01.2016;31,200
B2099810;1230000060;0 250 201 041;GLÜHKERZE;0471;710216;0250201041;0030;BOSCH;0 250 201 041;01.10.2011;05.11.2006;1,000;3165143181904;20.04.2015;18,350;;0,000;01.01.2016;30,500
B2099820;1230000070;0 250 201 042;GLÜHKERZE;0471;710216;0250201042;0030;BOSCH;0 250 201 042;01.10.2011;05.11.2006;0,000;3165143181928;20.04.2015;20,490;;0,000;01.01.2016;35,500
B2099830;1230000080;0 250 201 049;GLÜHKERZE;0471;710216;0250201049;0030;BOSCH;0 250 201 049;01.10.2011;05.11.2006;1,000;3165143181942;20.04.2015;2,380;25.01.2016;6,370;01.01.2016;35,000
B2099840;1230000090;0 250 201 050;GLÜHKERZE;0471;710216;0250201050;0030;BOSCH;0 250 201 050;07.02.2014;05.11.2006;2,000;3165143181867;28.07.2015;5,340;;0,000;01.01.2016;32,800
B2099850;1230000100;0 250 202 001;GLÜHKERZE;0471;710216;0250202001;0030;BOSCH;0 250 202 001;01.10.2011;05.11.2006;0,000;3165143181966;20.04.2015;2,930;;0,000;01.01.2016;33,500
B2099860;1230000110;0 250 202 020;GLÜHKERZE;0471;710216;0250202020;0030;BOSCH;0 250 202 020;01.10.2011;05.11.2006;4,000;3165143182086;20.04.2015;3,390;;0,000;01.01.2016;34,500
B2099870;1230000120;0 250 202 022;GLÜHKERZE;0471;710216;0250202022;0030;BOSCH;0 250 202 022;13.01.2014;05.11.2006;160,000;3165143182109;28.07.2015;32,650;25.01.2016;4,660;01.01.2016;34,500
B2099880;1230000130;0 250 202 023;GLÜHKERZE;0471;710216;0250202023;0030;BOSCH;0 250 202 023;01.10.2011;05.11.2006;60,000;3165143182123;20.04.2015;61,170;25.01.2016;6,160;01.01.2016;34,500
B2099890;1230000140;0 250 202 025;GLÜHKERZE;0471;710216;0250202025;0030;BOSCH;0 250 202 025;07.02.2014;05.11.2006;4,000;3165143182024;28.07.2015;70,490;;0,000;01.01.2016;34,600
B2099900;1230000150;0 250 202 026;GLÜHKERZE;0471;710216;0250202026;0030;BOSCH;0 250 202 026;01.10.2011;05.11.2006;0,000;3165143182048;20.04.2015;90,490;;0,000;01.01.2016;35,500
B2099910;1230000160;0 250 202 029;GLÜHKERZE;0471;710216;0250202029;0030;BOSCH;0 250 202 029;01.10.2011;05.11.2006;0,000;3165143182260;20.04.2015;19,420;;0,000;01.01.2016;33,000
B2099920;1230000170;0 250 202 042;GLÜHKERZE;0471;710216;0250202042;0030;BOSCH;0 250 202 042;01.10.2011;05.11.2006;5,000;3165143282281;20.04.2015;7,150;25.01.2016;7,100;01.01.2016;32,800
B2099940;1230000190;0 250 202 131;GLÜHKERZE;0471;710216;0250202131;0030;BOSCH;0 250 202 131;01.10.2011;05.11.2006;9,000;3165143601235;20.04.2015;7,240;25.01.2016;7,210;01.01.2016;30,600
B2099970;1230000220;0 986 039 530;AUSTAUSCH-LICHTMASCHINE NKW;0320;710216;0986039530;0030;BOSCH;0 986 039 530;01.10.2011;28.11.2006;0,000;3165141085495;28.07.2015;988,400;25.01.2016;919,920;01.01.2016;2901,000
